10,N,,Greene County,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,GT,NG,NG,,,mcf,"61,839","21,854","42,398","45,671","62,536","146,384","169,386","147,781","156,120","207,463","52,433",.,"61,839","21,854","42,398","45,671","62,536","146,384","169,386","147,781","156,120","207,463","52,433",.,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,.,"62,767","22,204","43,161","46,447","63,787","149,458","173,112","151,328","160,335","213,479","53,901",.,"62,767","22,204","43,161","46,447","63,787","149,458","173,112","151,328","160,335","213,479","53,901",.,"4,870",820,"2,360","2,563","4,218","10,641","12,098","10,925","11,065","15,459","3,255",.,"1,113,865","1,113,865","1,139,979","1,139,979","78,275",2014
10,N,,Greene County,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,"103,473","111,819","111,979","105,861","117,763","78,928","68,141","110,195","100,791","56,449","40,372",.,"103,473","111,819","111,979","105,861","117,763","78,928","68,141","110,195","100,791","56,449","40,372",.,23.83,22.75,23.18,23.16,23.84,22.47,22.51,23.97,23.86,23.78,23.80,.,"2,466,072","2,543,323","2,595,561","2,452,058","2,807,470","1,773,749","1,533,922","2,641,484","2,404,873","1,342,188","960,773",.,"2,466,072","2,543,323","2,595,561","2,452,058","2,807,470","1,773,749","1,533,922","2,641,484","2,404,873","1,342,188","960,773",.,"246,897","258,748","260,703","248,642","282,040","180,017","154,170","258,543","239,585","139,151","94,069",.,"1,005,771","1,005,771","23,521,473","23,521,473","2,362,567",2014
10,N,,Greene County,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,NG,NG,,,mcf,"2,815","7,377","7,865","35,463","6,120","6,663","11,290","13,017","10,671","7,600","9,596",.,"2,815","7,377","7,865","35,463","6,120","6,663","11,290","13,017","10,671","7,600","9,596",.,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,.,"2,857","7,495","8,007","36,066","6,242","6,803","11,538","13,329","10,959","7,820","9,865",.,"2,857","7,495","8,007","36,066","6,242","6,803","11,538","13,329","10,959","7,820","9,865",.,286,763,804,"3,657",627,690,"1,160","1,305","1,092",811,966,.,"118,477","118,477","120,981","120,981","12,160",2014
10,N,,Greene County,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,SUB,COL,,,short tons,0,0,0,0,0,"49,470","56,314",0,0,0,0,.,0,0,0,0,0,"49,470","56,314",0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,17.20,17.75,0.00,0.00,0.00,0.00,.,0,0,0,0,0,"850,884","999,461",0,0,0,0,.,0,0,0,0,0,"850,884","999,461",0,0,0,0,.,0,0,0,0,0,"86,356","100,453",0,0,0,0,.,"105,784","105,784","1,850,345","1,850,345","186,809",2014
10,N,,Greene County,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,WC,WOC,,,short tons,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0,0,0,2014
14,N,,Logan Martin Dam,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"507,136","480,177","383,952","480,625","259,872","224,578","121,386","69,296","90,697","156,519","186,075",.,"507,136","480,177","383,952","480,625","259,872","224,578","121,386","69,296","90,697","156,519","186,075",.,"53,293","50,460","40,348","50,507","27,309","23,600","12,756","7,282","9,531","16,448","19,517",.,0,0,"2,960,313","2,960,313","311,051",2014
15,N,,Lay Dam,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"795,366","791,084","669,727","760,719","400,214","352,568","194,069","124,384","150,077","252,355","304,850",.,"795,366","791,084","669,727","760,719","400,214","352,568","194,069","124,384","150,077","252,355","304,850",.,"83,582","83,132","70,379","79,941","42,057","37,050","20,394","13,071","15,771","26,519","31,975",.,0,0,"4,795,413","4,795,413","503,871",2014
16,N,,Martin Dam,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"566,468","268,123","246,816","555,411","295,738","248,958","117,818","79,811","83,893","181,908","309,493",.,"566,468","268,123","246,816","555,411","295,738","248,958","117,818","79,811","83,893","181,908","309,493",.,"59,528","28,176","25,937","58,366","31,078","26,162","12,381","8,387","8,816","19,116","32,462",.,0,0,"2,954,437","2,954,437","310,409",2014
17,N,,Mitchell Dam,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"580,590","660,382","580,552","682,468","348,495","304,388","163,694","103,144","121,158","188,693","245,558",.,"580,590","660,382","580,552","682,468","348,495","304,388","163,694","103,144","121,158","188,693","245,558",.,"61,012","69,397","61,008","71,718","36,622","31,987","17,202","10,839","12,732","19,829","25,756",.,0,0,"3,979,122","3,979,122","418,102",2014
18,N,,Lewis Smith Dam,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"333,526","163,333","92,181","385,883","120,073","208,933","150,477","132,958","115,477","240,584","62,677",.,"333,526","163,333","92,181","385,883","120,073","208,933","150,477","132,958","115,477","240,584","62,677",.,"35,049","17,164","9,687","40,551","12,618","21,956","15,813","13,972","12,135","25,282","6,574",.,0,0,"2,006,102","2,006,102","210,801",2014
26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,47,24,41,44,22,55,56,67,90,90,79,.,47,24,41,44,22,55,56,67,90,90,79,.,5.81,5.80,5.81,5.77,5.80,5.80,5.80,5.80,5.80,5.80,5.80,.,273,139,238,254,128,319,325,389,522,522,458,.,273,139,238,254,128,319,325,389,522,522,458,.,3,12,9,12,11,11,14,19,15,20,17,.,615,615,"3,567","3,567",143,2014
26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,"355,894","327,209","341,768","215,960","320,686","340,513","286,145","278,541","39,632",0,"81,042",.,"355,894","327,209","341,768","215,960","320,686","340,513","286,145","278,541","39,632",0,"81,042",.,23.21,23.01,23.21,23.03,23.31,23.23,23.62,23.67,23.39,0.00,23.12,.,"8,261,012","7,529,734","7,930,726","4,974,423","7,473,908","7,911,139","6,758,173","6,594,180","927,111",0,"1,873,691",.,"8,261,012","7,529,734","7,930,726","4,974,423","7,473,908","7,911,139","6,758,173","6,594,180","927,111",0,"1,873,691",.,"796,064","713,136","781,703","505,286","743,195","780,463","643,829","649,636","82,541","-3,203","149,512",.,"2,587,390","2,587,390","60,234,097","60,234,097","5,842,161",2014
26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,"4,932","6,668","4,896","6,517","2,927","5,067","1,612","1,346","2,176",0,"4,181",.,"4,932","6,668","4,896","6,517","2,927","5,067","1,612","1,346","2,176",0,"4,181",.,5.81,5.81,5.77,5.79,5.76,5.77,5.77,5.78,5.71,0.00,5.71,.,"28,645","38,714","28,265","37,714","16,868","29,221","9,304","7,784","12,427",0,"23,878",.,"28,645","38,714","28,265","37,714","16,868","29,221","9,304","7,784","12,427",0,"23,878",.,"2,760","3,667","2,786","3,831","1,677","2,883",886,767,"1,106",-12,"1,905",.,"40,322","40,322","232,820","232,820","22,257",2014
