26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,-7,,,,,,2013
26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,,,,,,,,,,,,"292,241",,,,,,,,,,,,"292,241",,,,,,,,,,,,23.26,,,,,,,,,,,,"6,797,526",,,,,,,,,,,,"6,797,526",,,,,,,,,,,,"667,078",,,,,,2013
26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,,,,,,,,,,,,"3,499",,,,,,,,,,,,"3,499",,,,,,,,,,,,5.78,,,,,,,,,,,,"20,238",,,,,,,,,,,,"20,238",,,,,,,,,,,,"1,986",,,,,,2013
46,N,1,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00,,,,,,,,,,,,"8,345,738",,,,,,,,,,,,"8,345,738",,,,,,,,,,,,"796,425",,,,,,2013
46,N,2,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00,,,,,,,,,,,,"8,190,764",,,,,,,,,,,,"8,190,764",,,,,,,,,,,,"781,636",,,,,,2013
46,N,3,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00,,,,,,,,,,,,"8,661,082",,,,,,,,,,,,"8,661,082",,,,,,,,,,,,"826,518",,,,,,2013
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,2013
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,GT,NG,NG,,,mcf,,,,,,,,,,,,"14,538",,,,,,,,,,,,"14,538",,,,,,,,,,,,1.02,,,,,,,,,,,,"14,814",,,,,,,,,,,,"14,814",,,,,,,,,,,,"1,022",,,,,,2013
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,,,,,,,,,,,,"171,547",,,,,,,,,,,,"171,547",,,,,,,,,,,,18.83,,,,,,,,,,,,"3,229,887",,,,,,,,,,,,"3,229,887",,,,,,,,,,,,"300,864",,,,,,2013
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,,,,,,,,,,,,"2,226",,,,,,,,,,,,"2,226",,,,,,,,,,,,5.82,,,,,,,,,,,,"12,955",,,,,,,,,,,,"12,955",,,,,,,,,,,,"1,207",,,,,,2013
