88,Granite Ridge Energy LLC,55170,Granite Ridge,NH,Rockingham,CT12,CT,OP,300.0,222.0,263.0,,3,2003,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,
88,Granite Ridge Energy LLC,55170,Granite Ridge,NH,Rockingham,STG,CA,OP,300.0,234.0,271.0,,3,2003,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,
109,Ag Processing Inc,10223,AG Processing Inc,IA,Wright,E.C.,ST,OP,8.5,8.5,8.5,,1,1982,SUB,,,,,,N,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,SUB,,,
135,Agrilectric Power Partners Ltd,10593,Agrilectric Power Partners Ltd,LA,Calcasieu,GEN1,ST,OP,12.1,10.9,10.9,,7,1984,AB,NG,,,,,N,Y,Y,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,NG,,,
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN2,ST,OP,35.0,32.0,31.5,,7,1987,BIT,PC,,,,,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN3,ST,OP,114.0,114.0,120.0,,7,1987,BIT,PC,,,,,Y,Y,,S,,Y,IPP CHP,3,B,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,
150,Adrian Public Utilities Comm,1956,Adrian,MN,NOBLES,5,IC,OP,2.0,2.0,2.0,,5,2005,DFO,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
156,AES Deepwater Inc,10670,AES Deepwater,TX,Harris,GEN1,ST,OA,165.2,138.0,140.0,,6,1986,PC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,
156,AES Deepwater Inc,10670,AES Deepwater,TX,Harris,REDST,BA,OP,1.0,1.0,1.0,,8,2010,MWH,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
164,AERA Energy LLC,50752,South Belridge Cogeneration Facility,CA,Kern,GEN1,GT,OP,31.4,19.0,21.0,,12,1985,NG,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
164,AERA Energy LLC,50752,South Belridge Cogeneration Facility,CA,Kern,GEN2,GT,OP,31.4,19.0,21.0,,12,1985,NG,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
164,AERA Energy LLC,50752,South Belridge Cogeneration Facility,CA,Kern,GEN3,GT,OP,31.4,19.0,21.0,,12,1986,NG,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
164,AERA Energy LLC,52077,Lost Hills Cogeneration Plant,CA,Kern,GEN4,GT,OP,3.5,2.7,3.0,,10,1985,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
164,AERA Energy LLC,52077,Lost Hills Cogeneration Plant,CA,Kern,GEN5,GT,OP,3.5,2.7,3.0,,10,1985,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
164,AERA Energy LLC,52077,Lost Hills Cogeneration Plant,CA,Kern,GEN6,GT,OP,3.5,2.7,3.0,,10,1985,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
177,AES Hawaii Inc,10673,AES Hawaii,HI,Honolulu,GEN1,ST,OP,203.0,180.0,180.0,,5,1992,BIT,WO,TDF,DFO,SUB,OBS,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,N,,,,,N,,Y,,,,,DFO,,,
178,CES Placerita Inc,10677,CES Placerita Power Plant,CA,Los Angeles,UNT2,CT,OS,60.0,46.0,50.0,,6,1988,NG,,,,,,N,N,N,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,
178,CES Placerita Inc,10677,CES Placerita Power Plant,CA,Los Angeles,UNT3,CA,OS,30.0,23.0,25.0,,6,1988,NG,,,,,,N,N,N,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,
